0x2121	0x3000
0x2122	0x3001
0x2123	0x3002
0x2124	0xff0c
0x2125	0xff0e
0x2126	0x30fb
0x2127	0xff1a
0x2128	0xff1b
0x2129	0xff1f
0x212A	0xff01
0x212B	0x309b
0x212C	0x309c
0x212D	0x00b4
0x212E	0xff40
0x212F	0x00a8
0x2130	0xff3e
0x2131	0x203e
0x2132	0xff3f
0x2133	0x30fd
0x2134	0x30fe
0x2135	0x309d
0x2136	0x309e
0x2137	0x3003
0x2138	0x4edd
0x2139	0x3005
0x213A	0x3006
0x213B	0x3007
0x213C	0x30fc
0x213D	0x2014
0x213E	0x2010
0x213F	0xff0f
0x2140	0xff3c
0x2141	0x301c
0x2142	0x2016
0x2143	0xff5c
0x2144	0x2026
0x2145	0x2025
0x2146	0x2018
0x2147	0x2019
0x2148	0x201c
0x2149	0x201d
0x214A	0xff08
0x214B	0xff09
0x214C	0x3014
0x214D	0x3015
0x214E	0xff3b
0x214F	0xff3d
0x2150	0xff5b
0x2151	0xff5d
0x2152	0x3008
0x2153	0x3009
0x2154	0x300a
0x2155	0x300b
0x2156	0x300c
0x2157	0x300d
0x2158	0x300e
0x2159	0x300f
0x215A	0x3010
0x215B	0x3011
0x215C	0xff0b
0x215D	0x2212
0x215E	0x00b1
0x215F	0x00d7
0x2160	0x00f7
0x2161	0xff1d
0x2162	0x2260
0x2163	0xff1c
0x2164	0xff1e
0x2165	0x2266
0x2166	0x2267
0x2167	0x221e
0x2168	0x2234
0x2169	0x2642
0x216A	0x2640
0x216B	0x00b0
0x216C	0x2032
0x216D	0x2033
0x216E	0x2103
0x216F	0x00a5
0x2170	0xff04
0x2171	0x00a2
0x2172	0x00a3
0x2173	0xff05
0x2174	0xff03
0x2175	0xff06
0x2176	0xff0a
0x2177	0xff20
0x2178	0x00a7
0x2179	0x2606
0x217A	0x2605
0x217B	0x25cb
0x217C	0x25cf
0x217D	0x25ce
0x217E	0x25c7
0x2221	0x25c6
0x2222	0x25a1
0x2223	0x25a0
0x2224	0x25b3
0x2225	0x25b2
0x2226	0x25bd
0x2227	0x25bc
0x2228	0x203b
0x2229	0x3012
0x222A	0x2192
0x222B	0x2190
0x222C	0x2191
0x222D	0x2193
0x222E	0x3013
0x222F	0xff07
0x2230	0xff02
0x2231	0xff0d
0x2232	0xff5e
0x2233	0x3033
0x2234	0x3034
0x2235	0x3035
0x223A	0x2208
0x223B	0x220b
0x223C	0x2286
0x223D	0x2287
0x223E	0x2282
0x223F	0x2283
0x2240	0x222a
0x2241	0x2229
0x2242	0x2284
0x2243	0x2285
0x2244	0x228a
0x2245	0x228b
0x2246	0x2209
0x2247	0x2205
0x2248	0x2305
0x2249	0x2306
0x224A	0x2227
0x224B	0x2228
0x224C	0x00ac
0x224D	0x21d2
0x224E	0x21d4
0x224F	0x2200
0x2250	0x2203
0x2251	0x2295
0x2252	0x2296
0x2253	0x2297
0x2254	0x2225
0x2255	0x2226
0x2258	0x3018
0x2259	0x3019
0x225A	0x3016
0x225B	0x3017
0x225C	0x2220
0x225D	0x22a5
0x225E	0x2312
0x225F	0x2202
0x2260	0x2207
0x2261	0x2261
0x2262	0x2252
0x2263	0x226a
0x2264	0x226b
0x2265	0x221a
0x2266	0x223d
0x2267	0x221d
0x2268	0x2235
0x2269	0x222b
0x226A	0x222c
0x226B	0x2262
0x226C	0x2243
0x226D	0x2245
0x226E	0x2248
0x226F	0x2276
0x2270	0x2277
0x2271	0x2194
0x2272	0x212b
0x2273	0x2030
0x2274	0x266f
0x2275	0x266d
0x2276	0x266a
0x2277	0x2020
0x2278	0x2021
0x2279	0x00b6
0x227A	0x266e
0x227B	0x266b
0x227C	0x266c
0x227D	0x2669
0x227E	0x25ef
0x2321	0x25b7
0x2322	0x25b6
0x2323	0x25c1
0x2324	0x25c0
0x2325	0x2197
0x2326	0x2198
0x2327	0x2196
0x2328	0x2199
0x2329	0x21c4
0x232A	0x21e8
0x232B	0x21e6
0x232C	0x21e7
0x232D	0x21e9
0x2330	0xff10
0x2331	0xff11
0x2332	0xff12
0x2333	0xff13
0x2334	0xff14
0x2335	0xff15
0x2336	0xff16
0x2337	0xff17
0x2338	0xff18
0x2339	0xff19
0x233B	0x25c9
0x233F	0x25e6
0x2340	0x2022
0x2341	0xff21
0x2342	0xff22
0x2343	0xff23
0x2344	0xff24
0x2345	0xff25
0x2346	0xff26
0x2347	0xff27
0x2348	0xff28
0x2349	0xff29
0x234A	0xff2a
0x234B	0xff2b
