0x2122	0x4e02
0x2123	0x4e0f
0x2124	0x4e12
0x2125	0x4e29
0x2126	0x4e2b
0x2127	0x4e2e
0x2128	0x4e40
0x2129	0x4e47
0x212A	0x4e48
0x212C	0x4e51
0x212D	0x3406
0x212F	0x4e5a
0x2130	0x4e69
0x2131	0x4e9d
0x2132	0x342c
0x2133	0x342e
0x2134	0x4eb9
0x2135	0x4ebb
0x2137	0x4ebc
0x2138	0x4ec3
0x2139	0x4ec8
0x213A	0x4ed0
0x213B	0x4eeb
0x213C	0x4eda
0x213D	0x4ef1
0x213E	0x4ef5
0x213F	0x4f00
0x2140	0x4f16
0x2141	0x4f64
0x2142	0x4f37
0x2143	0x4f3e
0x2144	0x4f54
0x2145	0x4f58
0x2147	0x4f77
0x2148	0x4f78
0x2149	0x4f7a
0x214A	0x4f7d
0x214B	0x4f82
0x214C	0x4f85
0x214D	0x4f92
0x214E	0x4f9a
0x214F	0x4fe6
0x2150	0x4fb2
0x2151	0x4fbe
0x2152	0x4fc5
0x2153	0x4fcb
0x2154	0x4fcf
0x2155	0x4fd2
0x2156	0x346a
0x2157	0x4ff2
0x2158	0x5000
0x2159	0x5010
0x215A	0x5013
0x215B	0x501c
0x215C	0x501e
0x215D	0x5022
0x215E	0x3468
0x215F	0x5042
0x2160	0x5046
0x2161	0x504e
0x2162	0x5053
0x2163	0x5057
0x2164	0x5063
0x2165	0x5066
0x2166	0x506a
0x2167	0x5070
0x2168	0x50a3
0x2169	0x5088
0x216A	0x5092
0x216B	0x5093
0x216C	0x5095
0x216D	0x5096
0x216E	0x509c
0x216F	0x50aa
0x2171	0x50b1
0x2172	0x50ba
0x2173	0x50bb
0x2174	0x50c4
0x2175	0x50c7
0x2176	0x50f3
0x2178	0x50ce
0x217A	0x50d4
0x217B	0x50d9
0x217C	0x50e1
0x217D	0x50e9
0x217E	0x3492
0x2321	0x5108
0x2323	0x5117
0x2324	0x511b
0x2326	0x5160
0x2328	0x5173
0x2329	0x5183
0x232A	0x518b
0x232B	0x34bc
0x232C	0x5198
0x232D	0x51a3
0x232E	0x51ad
0x232F	0x34c7
0x2330	0x51bc
0x2333	0x51f3
0x2334	0x51f4
0x2335	0x5202
0x2336	0x5212
0x2337	0x5216
0x2339	0x5255
0x233A	0x525c
0x233B	0x526c
0x233C	0x5277
0x233D	0x5284
0x233E	0x5282
0x2340	0x5298
0x2342	0x52a4
0x2343	0x52a6
0x2344	0x52af
0x2345	0x52ba
0x2346	0x52bb
0x2347	0x52ca
0x2348	0x351f
0x2349	0x52d1
0x234B	0x52f7
0x234C	0x530a
0x234D	0x530b
0x234E	0x5324
0x234F	0x5335
0x2350	0x533e
0x2351	0x5342
0x2354	0x5367
0x2355	0x536c
0x2356	0x537a
0x2357	0x53a4
0x2358	0x53b4
0x235A	0x53b7
0x235B	0x53c0
0x235D	0x355d
0x235E	0x355e
0x235F	0x53d5
0x2360	0x53da
0x2361	0x3563
0x2362	0x53f4
0x2363	0x53f5
0x2364	0x5455
0x2365	0x5424
0x2366	0x5428
0x2367	0x356e
0x2368	0x5443
0x2369	0x5462
0x236A	0x5466
0x236B	0x546c
0x236C	0x548a
0x236D	0x548d
0x236E	0x5495
0x236F	0x54a0
0x2370	0x54a6
0x2371	0x54ad
0x2372	0x54ae
0x2373	0x54b7
0x2374	0x54ba
0x2375	0x54bf
0x2376	0x54c3
0x2378	0x54ec
0x2379	0x54ef
0x237A	0x54f1
0x237B	0x54f3
0x237C	0x5500
0x237D	0x5501
0x237E	0x5509
0x2421	0x553c
0x2422	0x5541
0x2423	0x35a6
0x2424	0x5547
0x2425	0x554a
0x2426	0x35a8
0x2427	0x5560
0x2428	0x5561
0x2429	0x5564
0x242B	0x557d
0x242C	0x5582
0x242D	0x5588
0x242E	0x5591
0x242F	0x35c5
0x2430	0x55d2
0x2433	0x55bf
0x2434	0x55c9
0x2435	0x55cc
0x2436	0x55d1
0x2437	0x55dd
0x2438	0x35da
0x2439	0x55e2
0x243B	0x55e9
0x243C	0x5628
0x243E	0x5607
0x243F	0x5610
0x2440	0x5630
0x2441	0x5637
0x2442	0x35f4
0x2443	0x563d
0x2444	0x563f
0x2445	0x5640
